k,t,target_x,target_y,target_vx,target_vy,target_speed,axis_x,axis_y,axis_vx,axis_vy,axis_a,galvo_x,galvo_y,galvo_vx,galvo_vy,galvo_speed,synth_x,synth_y,synth_vx,synth_vy,error_x,error_y,error_vx,error_vy,galvo_in_square,galvo_speed_ok,axis_ok,laser_enable
40,0.04,3.866026277063033,0.11887062036467987,71.29987653132335,-10.884454533656122,72.12588816699022,4.120115902785321,0.0,82.70018603950365,0.0,-256.8193616146055,-0.2540896257222882,0.11887062036467987,-11.4003095081803,-10.884454533656122,15.761929050009503,3.866026277063033,0.11887062036467987,71.29987653132335,-10.884454533656122,0.0,0.0,0.0,0.0,1,1,1,0
41,0.041,3.938395931536538,0.10737168440489639,73.50181955500511,-12.079345065290156,74.48777117824697,4.2026876791440175,0.0,82.44336667788905,0.0,-244.8759599828124,-0.26429174760747953,0.10737168440489639,-8.941547122883932,-12.079345065290156,15.028700614394564,3.938395931536538,0.10737168440489639,73.50181955500511,-12.079345065290156,0.0,0.0,0.0,0.0,1,1,1,0
42,0.042,4.013136252753488,0.09479200701388459,76.02190565656673,-13.034246945140993,77.13119818259567,4.285008607841916,0.0,82.19849071790624,0.0,-233.25104522634336,-0.2718723550884281,0.09479200701388459,-6.176585061339509,-13.034246945140993,14.423654060149934,4.013136252753488,0.09479200701388459,76.02190565656673,-13.034246945140993,0.0,0.0,0.0,0.0,1,1,1,0
43,0.043000000000000003,4.090503366612715,0.08140522944613274,78.73216040461685,-13.683412717344737,79.91238242958039,4.367090473037209,0.0,81.9652396726799,0.0,-222.2288682557362,-0.27658710642449336,0.08140522944613274,-3.233079268063051,-13.683412717344737,14.06017728006197,4.090503366612715,0.08140522944613274,78.73216040461685,-13.683412717344737,0.0,0.0,0.0,0.0,1,1,1,0
44,0.044,4.170614500113238,0.06754538367637816,81.48370507258421,-13.972482687707531,82.67299719263947,4.448944598275761,0.0,81.74301080442416,0.0,-212.07250328231373,-0.27833009816252297,0.06754538367637816,-0.25930573183994454,-13.972482687707531,13.974888619264618,4.170614500113238,0.06754538367637816,81.48370507258421,-13.972482687707531,0.0,0.0,0.0,0.0,1,1,1,0
45,0.045,4.253430143360679,0.053593538369562425,84.11311294151766,-13.862353815518084,85.24776021702338,4.530581572828544,0.0,81.53093830114184,0.0,-203.00948121015867,-0.27715142946786564,0.053593538369562425,2.5821746403758112,-13.862353815518084,14.100797111511417,4.253430143360679,0.053593538369562425,84.11311294151766,-13.862353815518084,0.0,0.0,0.0,0.0,1,1,1,0
46,0.046,4.338743191353117,0.039960801687797434,86.44996219474501,-13.332562705462463,87.47201376307699,4.612011006389081,0.0,81.32792881993169,0.0,-195.2185792913768,-0.27326781503596376,0.039960801687797434,5.122033374813327,-13.332562705462463,14.282592698379036,4.338743191353117,0.039960801687797434,86.44996219474501,-13.332562705462463,0.0,0.0,0.0,0.0,1,1,1,0
47,0.047,4.426176098029436,0.02706826788147981,88.32524464546736,-12.383983230742745,89.18919151074854,4.6932413259193675,0.0,81.13271024064031,0.0,-188.81855405191226,-0.2670652278899315,0.02706826788147981,7.192534404827057,-12.383983230742745,14.321158885507081,4.426176098029436,0.02706826788147981,88.32524464546736,-12.383983230742745,0.0,0.0,0.0,0.0,1,1,1,0
48,0.048,4.515186699336173,0.0153246844881692,89.58022241277212,-11.0406602056245,90.25803246967985,4.774279626882982,0.0,80.9438916865884,0.0,-183.85953255682307,-0.259092927546809,0.0153246844881692,8.636330726183715,-11.0406602056245,14.017217490931834,4.515186699336173,0.0153246844881692,89.58022241277212,-11.0406602056245,0.0,0.0,0.0,0.0,1,1,1,0
49,0.049,4.605082928383937,0.0051027809377481295,90.07527657965957,-9.350631332335828,90.55931623646144,4.8551315888032915,0.0,80.76003215403158,0.0,-180.31766073244077,-0.25004866041935436,0.0051027809377481295,9.315244425627995,-9.350631332335828,13.1987910439727,4.605082928383937,0.0051027809377481295,90.07527657965957,-9.350631332335828,0.0,0.0,0.0,0.0,1,1,1,0
