k,t,target_x,target_y,target_vx,target_vy,target_speed,axis_x,axis_y,axis_vx,axis_vy,axis_a,galvo_x,galvo_y,galvo_vx,galvo_vy,galvo_speed,synth_x,synth_y,synth_vx,synth_vy,error_x,error_y,error_vx,error_vy,galvo_in_square,galvo_speed_ok,axis_ok,laser_command,laser_on
79,0.079,6.32,0.0,80.0,0.0,80.0,5.966623438243312,0.0,72.26305364575477,0.0,-58.82010099948844,0.3533765617566882,0.0,7.736946354245234,0.0,7.736946354245234,6.32,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
80,0.08,6.4,0.0,80.0,0.0,80.0,6.038857081838567,0.0,72.20423354475528,0.0,-58.16093193439737,0.3611429181614332,0.0,7.795766455244717,0.0,7.795766455244717,6.4,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
81,0.081,6.48,0.0,80.0,0.0,80.0,6.111032234917356,0.0,72.14607261282089,0.0,-57.509352898773344,0.36896776508264484,0.0,7.853927387179112,0.0,7.853927387179112,6.48,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
82,0.082,6.56,0.0,80.0,0.0,80.0,6.183149552853727,0.0,72.08856325992211,0.0,-56.86511908764591,0.376850447146273,0.0,7.911436740077889,0.0,7.911436740077889,6.56,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
83,0.083,6.64,0.0,80.0,0.0,80.0,6.255209683554105,0.0,72.03169814083446,0.0,-56.227971104687924,0.384790316445895,0.0,7.9683018591655355,0.0,7.9683018591655355,6.64,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
84,0.084,6.72,0.0,80.0,0.0,80.0,6.3272132677093875,0.0,71.97547016972977,0.0,-55.59762808016105,0.39278673229061223,0.0,8.024529830270225,0.0,8.024529830270225,6.72,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
85,0.085,6.8,0.0,80.0,0.0,80.0,6.399160939065077,0.0,71.91987254164961,0.0,-54.97377758204867,0.4008390609349224,0.0,8.08012745835039,0.0,8.08012745835039,6.8,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
86,0.08600000000000001,6.88,0.0,80.0,0.0,80.0,6.4710533247179365,0.0,71.86489876406756,0.0,-54.35606081551686,0.4089466752820634,0.0,8.135101235932439,0.0,8.135101235932439,6.88,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
87,0.08700000000000001,6.96,0.0,80.0,0.0,80.0,6.542891045451596,0.0,71.81054270325204,0.0,-53.74405089962984,0.4171089545484037,0.0,8.18945729674796,0.0,8.18945729674796,6.96,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
88,0.088,7.04,0.0,80.0,0.0,80.0,6.614674716129398,0.0,71.75679865235242,0.0,-53.137220972604794,0.42532528387060164,0.0,8.243201347647584,0.0,8.243201347647584,7.04,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
89,0.089,7.12,0.0,80.0,0.0,80.0,6.686404946171265,0.0,71.70366143137981,0.0,-52.53489735230166,0.43359505382873476,0.0,8.296338568620186,0.0,8.296338568620186,7.12,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
90,0.09,7.2,0.0,80.0,0.0,80.0,6.75808234015397,0.0,71.65112653402751,0.0,-51.9361907385769,0.4419176598460304,0.0,8.348873465972488,0.0,8.348873465972488,7.2,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
91,0.091,7.28,0.0,80.0,0.0,80.0,6.8297074985926285,0.0,71.59919034328894,0.0,-51.339895152827644,0.45029250140737176,0.0,8.400809656711061,0.0,8.400809656711061,7.28,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
92,0.092,7.36,0.0,80.0,0.0,80.0,6.901281018988341,0.0,71.54785044813612,0.0,-50.7443394741732,0.45871898101165964,0.0,8.452149551863883,0.0,8.452149551863883,7.36,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
93,0.093,7.44,0.0,80.0,0.0,80.0,6.97280349726674,0.0,71.49710610866194,0.0,-50.14716932642262,0.46719650273326074,0.0,8.502893891338061,0.0,8.502893891338061,7.44,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
94,0.094,7.52,0.0,80.0,0.0,80.0,7.044275529790738,0.0,71.44695893933552,0.0,-49.54502663023226,0.47572447020926134,0.0,8.553041060664484,0.0,8.553041060664484,7.52,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
